Titulo,Codigo_respuesta,Links,Imagenes
"
Subestimación de contagios de covid en el país sería de 82 %: estudio
",1,167,0
G20 se compromete a financiar vacunas contra covid para países pobres,1,267,23
'Vacuna contra covid en EE. UU. no estará disponible antes de enero',1,270,22
Vacuna de Oxford genera respuesta inmune y segura en adultos mayores,1,253,20
Las preocupantes cifras de covid-19 en Latinoamérica y EE. UU.,1,274,26
Vea cuánto puede sobrevivir el coronavirus en distintas superficies,1,264,22
Identifican mutación del coronavirus que se expandió por Europa,1,271,22
"
Contenedores para cadáveres covid-19 ya tienen altísima ocupación
",1,163,0
Avanza el estudio con plasma de convalecientes para pacientes de covid,1,260,22
"
Flamengo, en alerta máxima por sus contagios de covid-19
",1,161,0
¿Se rindió la Casa Blanca en la lucha contra la pandemia?,1,266,25
La OMS se pronuncia sobre la mutación del coronavirus en Dinamarca,1,260,22
"
Estudio muestra orden en el que suelen aparecer síntomas de covid-19
",1,170,0
"
Por demora en entrega de resultados de covid-19 investigan a 17 EPS
",1,163,0
"
Médicos piden dinero para tratamiento que reduce carga viral de covid
",1,173,0
"
Se mantiene tendencia a la baja en muertes por covid-19 en Colombia
",1,169,0
"Irán ocultó el número real de muertos por covid-19, según la BBC",1,268,23
"
Los vuelos nacionales en los que tendrá que hacerse prueba de covid
",1,165,0
"
Efectos del covid-19 se 'harán sentir durante décadas', afirma la OMS
",1,162,0
Dinamarca halla cepa de covid que dificultaría función de vacuna,1,272,22
"
'Creo que lo estoy llevando muy bien, pero vamos a asegurarnos': Trump
",1,167,0
"
Rusia dice que suministrará a Colombia su fármaco contra la covid-19
",1,165,0
"
El video viral que eliminaron sobre infectada con covid
",1,169,0
"
Científicos hallan molécula que ‘neutraliza’ al coronavirus
",1,165,0
"
‘Datos del covid tienen rezagos, no falseamientos’, responde Minsalud
",1,164,0
Proponen que vacuna contra covid no sea gratuita para estratos 5 y 6,1,261,22
"
Probarán en voluntarios colombianos vacuna experimental para covid-19
",1,165,0
"
Oxford reanuda los ensayos de la vacuna contra la covid-19
",1,163,0
"
Covid-19 ya es la segunda causa de muerte en Colombia
",1,164,0
"Usain Bolt, en cuarentena tras masiva reunión de cumpleaños",1,267,22
"Prueba diagnóstica colombiana de covid-19, lista para su uso",1,261,24
Estados Unidos supera las 200.000 muertes por covid-19,1,276,27
El defensor colombiano Cristian Zapata resultó contagiado por covid-19,1,265,24
"
Vea por qué el covid-19 ya es una tragedia histórica para el país
",1,177,0
"
Sensible reducción de la ocupación de camas UCI en Bogotá
",1,164,0
En qué consiste el aislamiento selectivo que alista el Gobierno,1,270,25
"
‘Este virus muestra cuán vulnerables somos’: Peter C. Doherty
",1,168,0
Denuncian supuesta manipulación de datos sobre pruebas de covid-19,1,257,18
"Joven, sano y deportista, pero estuvo 13 días en UCI por covid",1,267,25
Argentina iniciaría vacunación contra la covid-19 a finales de 2020,1,251,19
Las razones por las que ya no pedirán prueba PCR para entrar al país,1,265,26
"
¿Por qué siguen reportándose de a 300 muertes por covid-19 en el país?
",1,166,0
"
Lo (poco) que se sabe sobre Sputnik V, la vacuna rusa para covid-19
",1,166,0
"
Bill Gates lamenta la 'locura de pruebas' de covid-19 en EE. UU.
",1,168,0
"Centro histórico de Cartagena está cerca de abrir, ¿qué falta?",1,287,27
"
Expertos reconocen posibilidad de nuevos picos de covid-19 en Colombia
",1,165,0
El músico colombiano Willie Salcedo lucha contra el covid-19,1,265,24
"
Un muerto y 20 contagiados de covid-19 en un hogar geriátrico
",1,162,0
La muestra 'Bodies' expone ahora los efectos del coronavirus,1,261,21
Doce maneras como cambiará la educación después de covid-19,1,260,22
"En temporada de lluvias, cómo saber si lo que tiene es covid o gripa",1,265,24
Vea en este test qué tanto se está relajando o cuidando de la covid-19,1,271,22
"Después de casi 5 meses, Barranquilla no registró muertes por covid-19",1,269,22
"Tenista colombiano Alejandro Hoyos, positivo por covid-19",1,262,22
Científicos alertan sobre desconfianza hacia vacuna contra covid-19,1,270,24
El segundo brote de covid-19 en el círculo cercano de Donald Trump,1,269,25
"Una segunda ola de contagios en China será 'inevitable', según experto",1,268,24
Compañías automotrices registraron grandes pérdidas por covid-19,1,268,22
